Easting,Northing,fuffens,r,g,b,Name
653337.3852268922,7558884.032954393,1314.4568794753907,248,57,4,3
653333.1463793896,7558858.39223607,1316.8194621203124,248,57,4,3
653328.7689131878,7558832.846256168,1319.4110499101562,248,57,4,3
653324.4308969022,7558807.340110256,1321.5551699370117,248,57,4,3
653320.0912261222,7558781.918164744,1324.228176890625,248,57,4,3
653315.9243577372,7558756.469100614,1327.6543650410156,248,57,4,3
653311.8937926744,7558731.018822749,1330.6960118072916,248,57,4,3
653308.0491320691,7558705.673325784,1334.025400545573,248,57,4,3
653304.1136494412,7558680.500333938,1336.9741010976566,248,57,4,3
653300.175965696,7558655.420870236,1339.518586535156,248,57,4,3
654358.0082687454,7556849.017167641,1336.9902391490884,248,57,4,4
654359.7434263017,7556832.870119203,1338.9321583828125,248,57,4,4
654362.3558863455,7556817.0694976635,1341.1218333867191,248,57,4,4
654364.9683463892,7556801.268876128,1341.9188500611979,248,57,4,4
654367.580806433,7556785.468254589,1343.1337002246096,248,57,4,4
654370.1932664769,7556769.667633051,1343.2701865924478,248,57,4,4
654372.8057265206,7556753.867011514,1343.2970534267579,248,57,4,4
654375.4181865643,7556738.066389976,1342.7016849807942,248,57,4,4
654378.0306466081,7556722.265768439,1341.649506904687,248,57,4,4
654380.1149195823,7556706.722288903,1338.3548746799245,248,57,4,4
654382.1991925564,7556691.178809366,1334.7443427871092,248,57,4,4
654384.2834655306,7556675.635329829,1332.0614071555988,248,57,4,4
654386.3677385049,7556660.091850293,1330.7052085683595,248,57,4,4
654388.4520114791,7556644.548370756,1329.5062957588545,248,57,4,4
654390.5362844532,7556629.004891219,1328.1142007968754,248,57,4,4
654392.6205574274,7556613.461411684,1328.0772079090168,248,57,4,4
654395.7109405617,7556597.322173519,1326.9187095745442,248,57,4,4
654398.801323696,7556581.182935355,1324.1933238496094,248,57,4,4
654401.8917068304,7556565.04369719,1321.0227267667099,248,57,4,4
654404.9820899646,7556548.904459027,1320.4518251342774,248,57,4,4
654408.0724730989,7556532.765220863,1322.1182778481445,248,57,4,4
654411.1628562332,7556516.625982697,1322.978650184082,248,57,4,4
